gene	wbid	n_strains	fluor_tags	other_tags	cgc_strains
egl-23	WBGene00001190	4	TagBFP;TagRFP-T;mScarlet	Myc	
egl-27	WBGene00001194	1	mCherry		
egl-38	WBGene00001204	1	GFP		
egl-43	WBGene00001207	10	GFP;TagRFP-T;eGFP	AID;FLAG;TY1;ZF	DQM300;DQM494;RW12181
egl-44	WBGene00001208	3	GFP;mNG		RW12173;SYS603
egl-46	WBGene00001210	2	mNG		SYS637
egl-5	WBGene00001174	1	mNG	AID	PHX2361
egl-8	WBGene00001177	1	mNG		
ego-1	WBGene00001214	6	GFP;GFPNovo2;TagRFP;mCherry	AID;FLAG;HA;TEV;degron	SHG1675;SHG1936
egrh-1	WBGene00007772	3	GFP;mNG		SYS444
egrh-3	WBGene00044651	1	eGFP	FLAG;TY1	RW12196
ehbp-1	WBGene00009098	1	sGFP(11)	FLAG	
eif-1.A	WBGene00019162	1	mNG		NK2621
eif-2Bepsilon	WBGene00008428	1	GFPNovo2	AID;FLAG;TEV	
eif-2D	WBGene00016113	1	GFPnovo2	FLAG	PHX3364
eif-3.k	WBGene00001233	1	GFP	FLAG;TY1	
ekl-1	WBGene00009052	2	GFP;GFPNovo2	AID;FLAG;TEV	SHG1679
ekl-4	WBGene00013676	1	eGFP	FLAG;TY1	RW12207
elks-1	WBGene00018330	6	GFP;Skylan-S;mNG;sGFP(11)	TurboID	TV24780;UJ2587
elli-1	WBGene00008968	2	GFP	FLAG	SHG1682
elo-1	WBGene00001239	2	GFP;mNG	FLAG	NK2633
elo-6	WBGene00001244	1	GFP	FLAG	
elt-1	WBGene00001249	2	mNG		SYS680
elt-2	WBGene00001250	2	mNG		SYS412
elt-6	WBGene00001253	2	mNG		SYS631
elt-7	WBGene00015981	2	mNG		SYS543
emb-4	WBGene00001258	2	GFP	FLAG;OLLAS	SX3117
emb-9	WBGene00001263	18	mCherry;mEos2;mNG;mRuby;mRuby2;mScarlet-I;sGFP(11)		NK2326;NK2585;NK2604;NK2651;NK2920;NK3057;NK3072;NK3073;NK3210;NK3211
emr-1	WBGene00001309	3	mCherry;mNG	FLAG	SBW308
end-1	WBGene00001310	2	mNG		SYS549
end-3	WBGene00001311	2	mNG		SYS436
endu-2	WBGene00019779	1	eGFP		BR7205
enpl-1	WBGene00011480	2	mKate2;sfGFP		
enpp-1	WBGene00007753	1	GFPNovo2	AID;FLAG;TEV	
enri-1	WBGene00018386	1	GFP		
enri-2	WBGene00011981	2	GFP	FLAG	
enri-3/hrde-2	WBGene00011324	2	GFP	FLAG	SHG3113
ent-1	WBGene00001320	2	mNG	V5;degron	
ent-2	WBGene00010701	2	mScarlet	FLAG;HA;degron	
epi-1	WBGene00001328	3	mNG;mScarlet	Myc	NK2404
epic-1	WBGene00008707	1	mNG		
epic-2	WBGene00019540	1	mNG		
epic-3	WBGene00044293	1	mNG		
eps-8	WBGene00001330	4	GFP;mNG;mScarlet	FLAG;ZF	LP898
ergo-1	WBGene00019971	2	GFP	FLAG	JMC211
erh-2	WBGene00009444	1	GFP	FLAG	SHG665
erm-1	WBGene00001333	13	GFP;eGFP;mCherry;mScarlet;tagBFP2	AID;SunTag;degron	BOX213
etc-1	WBGene00008429	2	GFP	FLAG;TEV	
etfa-1	WBGene00009187	1	GFPNovo2	AID;FLAG;TEV	
ets-5	WBGene00016600	3	GFP;mNG		SYS643
ets-8	WBGene00016798	1	mNG		
eva-1	WBGene00009304	2	mNG		NK2700
