gene	wbid	n_strains	fluor_tags	other_tags	cgc_strains
plst-1	WBGene00022425	1	GFP		
pmk-1	WBGene00004055	2	mNG	FLAG	DV3327
pod-1	WBGene00004075	1	GFP		
pod-2	WBGene00004076	5	GFP	AID;FLAG;His;TEV	AX7884;DG4324
pole-4/Y53F4B.3	WBGene00013150	1	eGFP	FLAG;TY1	RW12270
pop-1	WBGene00004077	2	GFP;eGFP	AID	PHX5791;SV2114
pos-1	WBGene00004078	1	GFP	FLAG	DG4222
pot-1	WBGene00015105	1	GFP	FLAG	
pot-2	WBGene00010195	1	GFP		
ppk-1	WBGene00004087	2	GFP;eGFP	AID	
ppm-1.D	WBGene00021856	2		AID;HA	
pptr-1	WBGene00012348	1	mScarlet3	FLAG;ZF1	
ppw-1	WBGene00004093	3	GFP	FLAG	JMC225
ppw-2	WBGene00004094	3	GFP;GFPNovo2	AID;FLAG;TEV	JMC221
pqm-1	WBGene00004096	3	GFP	BioTag;FLAG;TEV	SYS573
pqn-59	WBGene00004143	2	GFP;mNG	FLAG	DG4233;GLW63
pqn-84	WBGene00004165	1	GFPNovo2	AID;FLAG;TEV	
prde-1	WBGene00008995	3	GFP	TurboID	
prdx-2	WBGene00006434	2	GFP		SXB15
prg-1	WBGene00004178	8	GFP;mCherry;mKate2;mTagRFP	FLAG;HA;Myc;TEV;TurboID;V5	AUM1695;JMC213;SHG763
prom-1	WBGene00009173	1		HA	
prp-19	WBGene00020423	2		FLAG;Strep	
prp-8	WBGene00004187	1	sGFP(11)	degron	
prpf-4	WBGene00004186	4	eGFP;mCherry	FLAG;TY1	
pry-1	WBGene00004202	1	mNG	FLAG	LP713
pssy-2	WBGene00012095	1	GFPNovo2	AID;FLAG;TEV	
ptl-1	WBGene00004212	1	smScarlet(11)	Myc	
ptp-3	WBGene00004215	2	mNG		NK2477
ptpn-22	WBGene00021507	1		FLAG;TurboID	
ptr-24	WBGene00004238	1		AID;HA	
ptrn-1	WBGene00004121	1	GFP		JLF16
puf-11	WBGene00022257	2	GFP	FLAG;TEV;V5	JK6280
puf-3	WBGene00004239	2	GFP	FLAG;TEV;V5	JK6080
puf-5	WBGene00004241	1	GFP	FLAG	DG4215
puf-8	WBGene00004244	3	GFP;GFPNovo2	AID;FLAG;TEV;V5	SHG1614
puf-9	WBGene00004245	1	GFP	FLAG	OH17945
pup-2	WBGene00019628	2		FLAG	EL629
pup-3	WBGene00019082	2		FLAG;HA	EL661;EL662
pup-4/F43E2.1	WBGene00018390	1		FLAG	EL716
pxf-1	WBGene00004254	1	GFP	FLAG	
pxn-1	WBGene00004256	2	mNG		NK2445
pxn-2	WBGene00004257	4	mNG		NK2444;NK2565
pyc-1	WBGene00004258	3	GFPNovo2	AID;FLAG;His;TEV	AX7884
pyk-1	WBGene00009126	1	GFPNovo2	AID;FLAG;TEV	
qua-1	WBGene00004264	1	mNG	FLAG	JDW741
rab-1	WBGene00004266	1	GFPNovo2	AID;FLAG;TEV	
rab-10	WBGene00004273	8	mNG;mScarlet	FLAG	TV27863;TV27864;TV27873;TV27876
rab-11.1	WBGene00004274	4	GFP;GFPNovo2;mNG	AID;FLAG;TEV	TV26971
rab-18	WBGene00004277	2	GFP;GFPNovo2	AID;FLAG;TEV	
rab-19	WBGene00004278	1	GFPNovo2	AID;FLAG;TEV	
rab-2/unc-108	WBGene00006833	1	GFPNovo2	AID;FLAG;TEV	
rab-21	WBGene00004279	1	GFPNovo2	AID;FLAG;TEV	
rab-27/aex-6	WBGene00000089	1	GFPNovo2	AID;FLAG;TEV	
rab-28	WBGene00004281	1	GFPNovo2	AID;FLAG;TEV	
rab-3	WBGene00004267	8	GFP;GFPNovo2;mNG;mScarlet-I;sGFP(11);smScarlet(11)	AID;FLAG;TEV	OTL231;TV25899;UJ2015
rab-30	WBGene00004282	1	GFPNovo2	AID;FLAG;TEV	
rab-35	WBGene00004284	1	GFPNovo2	AID;FLAG;TEV	
rab-37	WBGene00004285	1	GFPNovo2	AID;FLAG;TEV	
rab-39	WBGene00004286	1	GFPNovo2	AID;FLAG;TEV	
rab-5	WBGene00004268	1	GFP		
rab-6.1	WBGene00004269	1	GFPNovo2	AID;FLAG;TEV	
rab-7	WBGene00004271	5	GFP;GFPNovo2;mCherry;mNG	AID;FLAG;TEV	GLW16
rab-8	WBGene00004272	2	GFPNovo2	AID;FLAG;TEV	
rabi-8/rabi-1/F54C9.11	WBGene00010045	1		FLAG	
rabr-1	WBGene00019317	1	GFPNovo2	AID;FLAG;TEV	
rabr-2	WBGene00007067	1	GFPNovo2	AID;FLAG;TEV	
rabr-4	WBGene00008671	1	GFPNovo2	AID;FLAG;TEV	
rabx-5	WBGene00012644	1	GFP		
rack-1	WBGene00010556	2	mScarlet;mScarlet3	FLAG;ZF1	JAR50
rad-23	WBGene00013924	1	mStayGold		
rad-50	WBGene00004296	1		FLAG	
rad-51	WBGene00004297	6	GFP	FLAG;degron	SSM264
rad-54.L	WBGene00004298	1		HA	
raga-1	WBGene00006414	1	emGFP	AID	WBM1204
ral-1	WBGene00021811	3	mKate2	AID;FLAG	DV3402
ram-2	WBGene00004300	1	mNG	FLAG	JDW654
ran-2	WBGene00004303	1	mScarlet		JH3906
rap-1	WBGene00004307	3	GFP;mNG	FLAG	LP399
rap-2	WBGene00004308	2	mKate2	AID;FLAG	DV4012
rap-3	WBGene00004309	2	mNG		NK2503
rba-1	WBGene00004312	1	mCherry		
rbm-25	WBGene00012245	1	GFP		PHX4376
rbm-26	WBGene00015143	2	mScarlet	AID;FLAG	
rbm-39	WBGene00021921	1	mKate2		
rcor-1	WBGene00022278	3	eGFP;mNG	FLAG;TY1	RW12222;SYS667
rde-1	WBGene00004323	2	GFP	FLAG	JMC217
rde-12	WBGene00010280	1	GFP	FLAG	SHG2882
rde-2	WBGene00004324	1	GFP	FLAG	
rde-8	WBGene00022620	1	mCherry	HA	
rdl-1	WBGene00016703	1	GFP		
rec-8	WBGene00004333	2	mNG	FLAG	
ref-1	WBGene00004334	3	eGFP;mNG	FLAG;TY1	RW12224;SYS499
remo-1/F47D2.11	WBGene00206392	1	Venus		
ret-1	WBGene00004336	5	GFP;mCherry;mScarlet		
rga-8	WBGene00021324	1	mKate2	FLAG	
rgl-1	WBGene00017891	1	mNG	FLAG	DV3312
rgs-7	WBGene00004350	1	mCherry	ePDZ	
rheb-1	WBGene00010038	3	mKate2	AID;FLAG	DV3089;DV3670
rho-1	WBGene00004357	1	sfGFP		
ric-7	WBGene00010259	1	sGFP(11)		
ric-8	WBGene00004367	1	mCherry	ePDZ	
rimb-1	WBGene00006513	5	Skylan-S;mScarlet;sGFP(11)		UJ3045
rle-1	WBGene00010923	1	GFP	FLAG	
rme-1	WBGene00004373	1	mScarlet	FLAG	
rme-2	WBGene00004374	2	mScarlet;mScarlet-I3		
rmh-1	WBGene00019712	1		HA;degron	
rmh-2	WBGene00011576	2	mCherry	FLAG	
rmif-2	WBGene00022428	2		FLAG;HA	
rml-3	WBGene00015781	1	GFP	FLAG	
rnp-6	WBGene00004389	2	GFP	HA	
rnp-8	WBGene00020091	3	GFP	FLAG;TEV	SHG2906
rnt-1	WBGene00004393	1	eGFP	FLAG	SV2002
rod-1	WBGene00018900	2	GFP;mScarlet-I		
rol-1	WBGene00004394	1	mNG		PHX5033
rol-6	WBGene00004397	2	mNG;mScarlet	FLAG	
rol-8	WBGene00004398	1	mNG	FLAG	JDW652
rop-1	WBGene00004405	1	GFPNovo2	AID;FLAG;TEV	
rpa-1	WBGene00017546	4	sGFP(11)	OLLAS	SSM473;SSM476;SSM559
rpa-2	WBGene00019767	2		FLAG	SSM387;SSM559
rpa-4	WBGene00019079	5		FLAG;Myc	SSM410;SSM559
rpb-2	WBGene00016140	3	GFP;GFPNovo2	AID;FLAG;TEV	AMP100
rpb-3	WBGene00007971	1	GFPNovo2	AID;FLAG;TEV	
rpb-9	WBGene00022400	1		OLLAS	
rpc-1	WBGene00004411	2	GFP;mNG	FLAG;degron	OH16482
rpl-13	WBGene00004425	1	mNG		
rpl-22	WBGene00004434	2	GFP	FLAG	WBM1344
rpl-31	WBGene00004445	4	mNG;sGFP(11)	ZF	NK2694
rpl-37.1	WBGene00012179	1	mNG		
rpl-4	WBGene00004415	2	sGFP(11)		NK2730
rpl-42	WBGene00004455	1	GFPNovo2	AID;FLAG;TEV	
rpl-5	WBGene00004416	1	GFP		
rpm-1	WBGene00004457	2	GFP;mScarlet		
rpn-1	WBGene00004458	1	GFP	HA;TEV	
rpn-11	WBGene00004467	1	mStayGold		
rpn-12	WBGene00004468	1	GFP		
rpn-2	WBGene00004459	1	GFPNovo2	AID;FLAG;TEV	
rpn-6.1	WBGene00004462	2	GFP	OLLAS	
rpn-6.2	WBGene00010309	2	GFP		LN167;LN170
rpn-7	WBGene00004463	1	GFP		
rpn-8	WBGene00004464	1	GFP		
rpn-9	WBGene00004465	3	GFP;mScarlet		CER620
rpoa-1	WBGene00012999	1	GFP	AID	ESC829
rpoa-2	WBGene00008781	8	GFP	AID;degron	ESC319;ESC332;ESC351;ESC352;ESC360;ESC373;ESC374
rps-10	WBGene00004479	1		HA	WJA1025
rps-20	WBGene00004489	1		FLAG	WJA1190
rps-26	WBGene00004495	2	GFP	AID	
rps-6	WBGene00004475	1	mCherry		JAR16
rpt-1	WBGene00004501	1	mNG		
rpt-3	WBGene00004503	1	GFP	FLAG	
rrc-1	WBGene00009800	1		HA	
rrf-1	WBGene00004508	3	GFP;TagRFP	FLAG	SHG2673;SHG2907
rsd-2	WBGene00004681	1	mCherry	HA	
rsd-6	WBGene00004684	1	GFP	FLAG	SHG2908
rsef-1/tag-312	WBGene00016344	1	GFPNovo2	AID;FLAG;TEV	
rsp-4	WBGene00004701	1	GFP		
rtel-1	WBGene00009124	1		AID;HA	
rtkn-1/C07B5.4	WBGene00007409	1		FLAG	
sac-1/sacm-1L	WBGene00009264	1	GFP		
sacy-1	WBGene00019245	2	GFP	AID;FLAG;Myc;S-tag	
sad-1	WBGene00004719	1	GFP		
saeg-2	WBGene00011964	1	eGFP	FLAG;TY1	RW12230
sago-2	WBGene00018921	3	GFP	FLAG	JMC227
sam-4	WBGene00019126	2	mScarlet-I	ZF	
sams-1	WBGene00008205	1	TagRFP		
sams-3	WBGene00015538	1	mKate		
sams-4	WBGene00015540	1	GFP		
san-1	WBGene00004721	1	GFP	FLAG;TEV	OD2909
sao-1	WBGene00011195	2	GFP;TagRFP	FLAG	
sas-4	WBGene00004726	2	GFP;mMaple3	FLAG;ZF	
sas-6	WBGene00012888	1		FLAG;HA;degron	
sas-7	WBGene00011562	3	GFP;RFP		EU3000
sax-2	WBGene00004728	2	GFP		
sax-3	WBGene00004729	2	mNG		NK2698
sax-7	WBGene00004732	10	GFP;mCherry;mNG;sfGFP	AID;FLAG;ZF	
sbp-1	WBGene00004735	2	mNG		NK3080
sbsp-1	WBGene00011269	1	GFPNovo2	AID;FLAG;TEV	
scav-3	WBGene00013039	3	GFP		
scc-1	WBGene00004737	1		FLAG;TEV	
scc-2	WBGene00004166	1		AID	
scd-1	WBGene00004739	1	mKate2	HA	DV3765
scl-12	WBGene00019178	1	mScarlet		
scpl-4	WBGene00011897	2	mScarlet		WBM1688
sdc-1	WBGene00004745	1	eGFP	FLAG;TY1	RW12225
sdc-3	WBGene00004747	2	mCherry	AID	
sdha-1	WBGene00015391	1	mNG		
sdhb-1	WBGene00006433	3	SuperNova;mCherry;mNG		NK2746
sdhc-1/mev-1	WBGene00003225	3	SuperNova;mCherry;mNG		NK2840
sdn-1	WBGene00004749	4	mNG	AID	NK2413
sdpn-1	WBGene00018467	1	mNG	FLAG	
sec-16A.1	WBGene00013985	4	GFP;mNG	FLAG	NK3055;NK3065
sec-16a.2	WBGene00017419	1	GFP	degron	
sec-24.2	WBGene00004756	1	mRuby	HA;TEV	
sec-5	WBGene00004752	2	YFP	ZF	FT1523
sec-6	WBGene00017284	2	GFP	SBP;degron	
sec-61.B	WBGene00021427	2	sGFP(11)		NK2789
seip-1	WBGene00019808	3	GFP;mKikGR;mScarlet	FLAG	
sel-10	WBGene00004767	3	GFP	FLAG;TEV	
sel-5	WBGene00004762	1	GFP		
sel-8	WBGene00004765	2	mNG		SYS604
sem-2	WBGene00004771	1	GFP	FLAG	
sem-5	WBGene00004774	1	GFP		
semo-1	WBGene00012538	1	mCherry		
sep-1	WBGene00004775	1	GFP		OD5140
sepa-1	WBGene00010808	2	GFP;TagRFP		
set-11	WBGene00018023	1	GFP		
set-16	WBGene00011729	1	eGFP	FLAG;TY1	RW12223
set-25	WBGene00012802	2	mCherry		
set-26	WBGene00013106	2	GFP	HA	
set-27	WBGene00022173	1		HA	
set-6	WBGene00008206	1	GFP	HA	
set-9	WBGene00017482	1	GFP		
sex-1	WBGene00004786	1	mNG	AID	
sftb-1	WBGene00011605	2	mCherry		CER444
sgca-1	WBGene00019227	1	mScarlet		
sgcb-1	WBGene00019277	2	mNG;mScarlet		
sgn-1	WBGene00004790	1	mScarlet		
sid-1	WBGene00004795	3	mCherry;mScarlet;mScarlet-I3		
sid-2	WBGene00004796	3	mCherry;mScarlet	FLAG	PT3562
simr-1	WBGene00015504	7	GFP;TagRFP;mCherry	FLAG;HA;TurboID	SHG2440;SHG3116
sin-3	WBGene00004117	1	mCherry		
sinh-1	WBGene00013261	1	GFP		
ska-1	WBGene00013725	1	GFP		
skn-1	WBGene00004804	3	GFP;mNG		SYS81
skr-1	WBGene00004807	1	GFP		
skr-2	WBGene00004808	1	GFP		
slc-36.1	WBGene00012804	1	GFP		
slcf-1	WBGene00010340	2	GFP	PP7	
slo-1	WBGene00004830	1	TagBFP		
slr-2	WBGene00013350	1	eGFP	FLAG;TY1	RW12343
slt-1	WBGene00004854	1	mNG		
sma-1	WBGene00004855	3	GFP;sGFP(11)	ZF	PHX4954
sma-6	WBGene00004860	1	GFP	FLAG	
smc-1/him-1	WBGene00001860	3	GFP	AID;FLAG	
smc-3	WBGene00004873	3	emGFP	AID;HA	ERC102
smc-5	WBGene00016151	1		AID;FLAG	
smex-1/W02D7.3	WBGene00020939	1	GFP		PHX6345
smg-6	WBGene00004884	1		FLAG	
smgl-1	WBGene00008990	1		FLAG	
smn-1	WBGene00004887	1	GFP		
smo-1	WBGene00004888	6	GFP	AID;FLAG;His	OH16463
smoc-1	WBGene00011437	3	GFP;mNG	FLAG	
smrc-1	WBGene00015806	4		FLAG;Myc	EL610;EL663;EL732
sms-1	WBGene00004892	2	mNG		NK2925;NK2959
sna-1	WBGene00020951	1	GFP	FLAG	
sna-2	WBGene00011747	1	GFP	FLAG	
sna-3	WBGene00016015	2	GFP;mNG	AID;FLAG	
snb-1	WBGene00004897	3	GFP;mNG		NK2827
snf-3	WBGene00004902	1	TagRFP		PHX7290
sng-1	WBGene00004912	5	GFP;TagRFP;smScarlet(11)		UJ3103
snpc-1.2	WBGene00012715	1	eGFP	FLAG;TY1	RW12251
snpc-1.3	WBGene00017265	2		FLAG	
snpc-4	WBGene00001568	3		AID;FLAG;OLLAS	
snr-2	WBGene00004915	1	GFP	FLAG	
snr-6	WBGene00004919	1	GFPNovo2	AID;FLAG;TEV	
snt-1	WBGene00004921	4	GFP;TagRFP		
snu-66/F19F10.9	WBGene00017605	2	mNG		SYS423
sod-1	WBGene00004930	1	GFP	FLAG	
sod-2	WBGene00004931	1	mScarlet	Myc	GLW65
sod-5	WBGene00007036	1	mScarlet-I	Myc	GLW79
sox-2	WBGene00004949	4	GFP;eGFP;mNG	FLAG;TY1	RW12244;SYS516
spas-1	WBGene00016045	1	mScarlet	AID;FLAG	
spc-1	WBGene00004951	4	GFP;RFP;sGFP(11)	AID	GOU2936
spd-2	WBGene00004953	6	GFP;RFP	FLAG;HA;ZF	JLF425
spd-5	WBGene00004955	8	GFP;GFPNovo2;TagRFP;TagRFP-T;mMaple	AID;FLAG;Myc;TEV;ZF	JLF361;JLF425
spdl-1	WBGene00015515	1	GFP		
spe-11	WBGene00004965	1	GFP		
spe-15	WBGene00004969	1	GFP		
spe-21/dhhc-5	WBGene00020066	1	mNG		AD316
spe-36/F40F11.4	WBGene00009589	2	GFP		ARK7
spe-38	WBGene00013121	2	mScarlet-I		AD319
spe-44	WBGene00007732	9	mScarlet	AID;FLAG;Myc;TEV	JDW101;JDW120;PX624;PX627;PX629;PX658
spe-51	WBGene00020675	2	mNG		AD296
spe-9	WBGene00004963	1	tdTomato		
spex-1/F36D1.23	WBGene00219287	1	TagRFP		PHX6466
spia-1/F09F9.2	WBGene00017307	2	mNG	FLAG	IG2212
spin-1	WBGene00007549	1	mCherry		COP2331
spin-2	WBGene00008033	1	mCherry		COP2341
spin-3	WBGene00008598	1	mCherry		COP2343
spin-4	WBGene00013739	2	mCherry		COP2416
spn-4	WBGene00004984	5	GFP;GFPNovo2;TagRFP-T;mKate2	AID;FLAG;TEV	DG4158;SHG2330
spo-11	WBGene00004985	4		AID;FLAG	CA1369;CA1377;CA1423
spon-1	WBGene00006893	2	mNG		NK2580
spop-1	WBGene00011815	1	GFP		
spp-5	WBGene00004990	1	mNG		
spr-4	WBGene00005009	2	mNG		SYS475
spt-16	WBGene00018849	1	GFP		
sptf-3	WBGene00012735	2	mNG	FLAG	
sqt-2	WBGene00005017	1	mNG	FLAG	JDW653
sqt-3	WBGene00005018	2	mNG		PHX3691
sqv-5	WBGene00005023	1	GFP		NYL4291
srap-1	WBGene00011522	1	mNG	FLAG	JDW786
srb-13	WBGene00019028	1	tdTomato		
srb-16	WBGene00019025	1	tdTomato		
src-1	WBGene00005077	1	GFP		PLG1
srgp-1	WBGene00006406	2	mNG;mScarlet-I	FLAG	
srx-64	WBGene00005955	2	sGFP(11)		
ssq-1	WBGene00006050	1	mCherry	V5	
sta-1	WBGene00013111	1	eGFP	FLAG;TY1	RW12332
sta-2	WBGene00010251	1	eGFP	FLAG;TY1	RW12242
stl-1	WBGene00006061	1	GFPNovo2	AID;FLAG;TEV	
stn-1	WBGene00006062	1	mScarlet		
stn-2	WBGene00017866	2	mNG;mScarlet		
suca-1	WBGene00009812	1	GFPNovo2	AID;FLAG;TEV	
sun-1	WBGene00006311	4	GFP	AID;FLAG;V5	
sup-17	WBGene00006324	1	GFP		
sup-26	WBGene00006331	1		FLAG	VT3121
sup-35	WBGene00012976	1	eGFP	FLAG;TY1	RW12245
sup-9	WBGene00006318	1	TagRFP-T		
sups-1	WBGene00017716	1	YFP		
sur-5	WBGene00006351	1	GFP		
sut-1	WBGene00020475	1	GFP	FLAG	
svh-5	WBGene00006462	2	mNG		SYS639
swan-1	WBGene00009977	2		Myc;V5	JH3134;JH3136
swm-1	WBGene00023417	1	mCherry		
swsn-1	WBGene00004203	2	eGFP	FLAG;TY1	RW12187
swsn-4	WBGene00004204	1	GFP		
swsn-8/let-526	WBGene00002717	3	GFP;eGFP	FLAG;TY1;degron	RW12306
syd-1	WBGene00006363	2	Skylan-S;mScarlet-I		
syd-2	WBGene00006364	15	GFP;Skylan-S;mScarlet-I;sGFP(11);smScarlet(11)	λpptase	TV20370;TV24779;TV24783;TV24785;TV24786;TV25205;UJ1940;UJ3321
sydn-1	WBGene00021473	1	GFP	FLAG	
syg-1	WBGene00006365	1	GFP		
sygl-1	WBGene00012104	6		FLAG;Myc;OLLAS;V5;λN	JK5893;JK6002;WU1770
sym-1	WBGene00006366	1	GFP		
symk-1	WBGene00017797	3	GFP;mNG	AID	
syp-1	WBGene00006375	1		HA	
syp-2	WBGene00006376	4	GFP	AID;HA;TEV	
syp-3	WBGene00006377	4	mCherry	AID;HA;Halotag	
syp-4	WBGene00019247	4	sGFP(11)	FLAG;HA	SSM474
syp-5	WBGene00021832	4	GFP	FLAG;HA	
syp-6	WBGene00019002	3	GFP	HA	
sysm-1	WBGene00011979	1		V5	
syx-2	WBGene00006372	1	TagBFP		
tab-1	WBGene00006380	3	GFP;mNG		PHX1587;SYS674
tac-1	WBGene00006381	4	GFP	FLAG;ZF	EU3121
tag-68	WBGene00006445	1	TagRFP-T		
tat-1	WBGene00013034	1	GFP		
tba-1	WBGene00006528	5	GFP;TagRFP-T;sGFP(11)	FLAG;HA;TEV	GN675;SA1067
tba-2	WBGene00006529	4	GFP;TagRFP-T	FLAG;TEV	GN688;SA1016
tba-4	WBGene00006530	2	GFP	FLAG;TEV	SA1171
tba-5	WBGene00006531	5	GFP;sGFP(11)	FLAG;TEV	SA1358
tba-6	WBGene00006532	2	GFP	FLAG;TEV	SA1386
tba-7	WBGene00006533	2	GFP	FLAG;TEV	SA1176
tba-8	WBGene00006534	2	GFP	FLAG;TEV	SA1430
tba-9	WBGene00006535	2	GFP	FLAG;TEV	SA1303
tbb-1	WBGene00006536	3	GFP;TagRFP-T		GN683;SA884
tbb-2	WBGene00006537	7	GFP;sGFP(11);smScarlet(11)	degron	CF4614;SA854
tbb-4	WBGene00006538	4	GFP;TagRFP	FLAG;Myc;TEV	SA1205
tbb-6	WBGene00006539	2	GFP	FLAG;TEV	SA1280
tbx-2	WBGene00006543	1	GFP	FLAG;TY1	OK1097
tbx-34	WBGene00006553	1	GFP	AID;FLAG	
tbx-35	WBGene00006554	1	mNG		
tbx-37	WBGene00006556	5	GFP;eGFP;mNG	FLAG;TY1	MLC813;RW12282;SYS400
tbx-38	WBGene00006557	5	GFP;eGFP;mNG	FLAG;TY1	MLC893;RW12186;SYS422
tct-1	WBGene00009122	1	mNG		NK2800
tdp-1	WBGene00006514	1	mScarlet		JH3904
ten-1	WBGene00006498	2	mNG		NK2502
tent-5	WBGene00004131	1	GFP	FLAG	
tes-1	WBGene00015217	4	mNG;mScarlet-I	FLAG	SU1085;SU955
test-1	WBGene00016918	2	mNG		NK2692
tex-2	WBGene00018872	1	eGFP	FLAG	
tiar-1	WBGene00015943	1	GFP	S-tag;TEV	DG3922
tir-1	WBGene00006575	2	mScarlet	FLAG	
tln-1	WBGene00006771	1	GFP		AH3437
tmc-1	WBGene00020490	3	GFP;mNG		
tmc-2	WBGene00015177	1	mNG		
tmem-120	WBGene00019716	1	GFP		
tmie/Y39A1C.1	WBGene00012662	1	mNG		
tnc-2	WBGene00006583	1	GFP		RSL86
tni-3	WBGene00006585	1	mCherry		RSL48
toca-1	WBGene00017298	1	GFP		
tofu-1	WBGene00007785	2	GFP	FLAG;Myc	
tofu-2	WBGene00017620	2	GFP	FLAG;HA	
tofu-6	WBGene00017132	2	GFP	FLAG;Myc	
tol-1	WBGene00006593	3	mScarlet	FLAG	KRA867;PHX8406
tomm-20	WBGene00009092	5	GFP;TagRFP;mNG;smScarlet(11)		CF4625
tomm-70	WBGene00022722	2	GFP		WBM1444
top-1	WBGene00006595	2	GFP	AID	ERC84
top-2	WBGene00010785	5	GFP;GFPNovo2;mCherry;sfGFP	AID;FLAG;TEV	
top-3/top-3A	WBGene00006596	3		HA;OLLAS;degron	
tost-1	WBGene00016449	1	GFP	FLAG	
tpa-1	WBGene00006599	1	YPet	AID;FLAG	
tpan-1	WBGene00012853	1	GFP		PHX5349
tpxl-1	WBGene00021470	3	GFP;mScarlet	FLAG;ZF	JLF238
tra-1	WBGene00006604	5	GFP;eGFP	FLAG;TEV;TY1;biotag	DZ840;DZ841;RW12348
tra-2	WBGene00006605	3	GFP	FLAG;HA	
trak-1	WBGene00020838	2	mNG		NK2784
trap-1	WBGene00022122	1	mCherry		
trcs-1	WBGene00009186	1	GFP	FLAG	
trp-4	WBGene00006616	2	GFP	HA	MSB591
trx-1	WBGene00015062	3	GFP;mScarlet		SXB34
tsn-1	WBGene00006626	1	GFPNovo2	AID;FLAG;TEV	
tsp-1	WBGene00006627	1	mScarlet		
tsp-12	WBGene00006638	4	GFP;TagRFP	FLAG;Myc	
tsp-14	WBGene00006640	12	GFP;TagRFP	FLAG;Myc	
tsp-21	WBGene00023491	1	GFP		
tsp-6	WBGene00006632	2	mScarlet		OQ366;PHX4122
tsr-2/Y51H4A.15	WBGene00013109	2	GFP	AID	ESC424;ESC440
ttx-1	WBGene00006652	4	GFP;mNG		OH18111;PHX1679;SYS644
ttx-3	WBGene00006654	2	YFP;mKate2		
twk-12	WBGene00006667	1	mScarlet		
twk-16	WBGene00006670	1	mScarlet	AID	MSB555
twk-17	WBGene00006671	1		HA	
twk-18	WBGene00006672	3	TagBFP;TagRFP-T;mScarlet		
twk-24	WBGene00006677	2	mNG;mScarlet	FLAG	
twk-28	WBGene00006680	1	mScarlet		
twk-40	WBGene00006691	1	TagRFP-T	ZF	
twk-42	WBGene00006692	1	mScarlet		
twk-8	WBGene00006663	1	mScarlet		
uaf-2	WBGene00006698	1	eGFP	FLAG;TY1	RW12249
ubc-20	WBGene00006715	2	GFP	FLAG	
ubc-9	WBGene00006706	3		FLAG	SSM491
ubh-1	WBGene00006721	1	GFP		
ubh-2	WBGene00006722	1	GFP		
ubh-3	WBGene00006723	1	GFP		
ubh-4	WBGene00006724	2	eGFP		CER620
ubq-2	WBGene00006728	1		HA	
ubr-5	WBGene00009460	1		HA;TurboID	
ubxn-2	WBGene00022381	1	mTagBFP2		
ubxn-6	WBGene00019163	1		V5	
ucr-11	WBGene00019007	1	SuperNova		
ucr-2.1	WBGene00012158	3	mNG		NK2623;NK3086
ucr-2.3	WBGene00020757	2	SuperNova	HA	
unc-10	WBGene00006750	7	GFP;mScarlet-I;sGFP(11)	ALFA	TV25445;TV25876;UJ2719
unc-104	WBGene00006831	6	GFP	AID;Myc	DLW109;DLW112;ESC829;KG5148
unc-105	WBGene00006832	1	GFPNovo2	AID;FLAG;TEV	
unc-11	WBGene00006751	1	GFP		DQ3188
unc-112	WBGene00006836	1	GFP		
unc-115	WBGene00006839	1	sGFP(11)		
unc-116	WBGene00006840	3	mCitrine;sGFP(11)	AID;ZF	
unc-119	WBGene00006843	2	GFP	FLAG	DZ710;STR485
unc-120	WBGene00006844	1	GFP		
unc-13	WBGene00006752	4	GFP;Skylan-S;mScarlet-I		
unc-130	WBGene00006853	1	sfGFP		
unc-17	WBGene00006756	3	GFP;mKate2	FLAG	OH15568
unc-18	WBGene00006757	3		AID	DLW110;DLW114
unc-2	WBGene00006742	4	GFP;pHluorin	Halotag	ZM9583
unc-22	WBGene00006759	7	GFP;GFPNovo2;smScarlet(11)	AID;FLAG;TEV	RSL94;RSL98;RSL99
unc-27	WBGene00006764	1	GFP		RSL85
unc-29	WBGene00006765	1	TagRFP-T		
unc-3	WBGene00006743	4	eGFP;mNG	AID;FLAG;TY1	OH13988;RW12259;SYS148
unc-30	WBGene00006766	4	GFP;mNG	AID;FLAG	OS12700
unc-31	WBGene00006767	3	GFP	AID;FLAG;TEV	RJP5269;RJP5296
unc-32	WBGene00006768	2	GFP		
unc-33	WBGene00006769	2	sGFP(11)	AID	
unc-34	WBGene00006770	3	mNG		DQM1152
unc-36	WBGene00006772	1	mNG		
unc-37	WBGene00006773	3	BFP;mNG	AID	SYS681
unc-39	WBGene00006775	1	GFP		PHX4537
unc-4	WBGene00006744	2	BFP;GFP	AID	PHX1658
unc-40	WBGene00006776	5	GFP;mKate;mNG	FLAG;ZF	NK2672
unc-42	WBGene00006778	1	GFP		OH16111
unc-43	WBGene00006779	1	sGFP(11)		
unc-44	WBGene00006780	8	GFP;Skylan-S	FLAG;SNAP	CZ24990;CZ25013;STR282
unc-45	WBGene00006781	1		FLAG;HA;TEV	
unc-49	WBGene00006784	3	TagRFP;TagRFP-T;mScarlet		
unc-5	WBGene00006745	6	GFP;mNG	HA	NK2673
unc-51	WBGene00006786	2	mScarlet	FLAG	
unc-52	WBGene00006787	11	mNG	AID	DLW124;NK2500;NK2555;NK2583;NK2643
unc-54	WBGene00006789	6	GFP;eGFP;mEos3.2	FLAG;TY1	PD2856;PD2859;PD4092;RW12229
unc-55	WBGene00006790	1	GFP		
unc-57	WBGene00006791	1	sGFP(11)		
