gene	go_term	go_slim_term	cellular_component
F23F12.3	GO:0016020	GO:0016020	membrane
F25B4.7	GO:0005739	GO:0005739	mitochondrion
F25B4.7	GO:0005743;GO:0016020	GO:0016020	membrane
F25B5.3	GO:0005737	GO:0005737	cytoplasm
F25D1.3	GO:0005576	GO:0005576	extracellular region
F25H8.2	GO:0005634	GO:0005634	nucleus
F25H8.2	GO:0005732;GO:1990904	GO:0032991	protein-containing complex
F25H9.7	GO:0005739	GO:0005739	mitochondrion
F25H9.7	GO:0005758;GO:0005759		
F26A3.4	GO:0005737	GO:0005737	cytoplasm
F26A3.4	GO:0055120		
F26E4.7	GO:0031012	GO:0031012	extracellular matrix
F26E4.7	GO:0005615		
F26G1.1	GO:0005768	GO:0005768	endosome
F26H9.5	GO:0005737	GO:0005737	cytoplasm
F27C1.11			
F27C1.2	GO:0016020	GO:0016020	membrane
F28H1.4	GO:0016020	GO:0016020	membrane
F30F8.9	GO:0005739	GO:0005739	mitochondrion
F30F8.9	GO:0005743;GO:0016020	GO:0016020	membrane
F31E8.4	GO:0016020	GO:0016020	membrane
F32A5.8			
F32B5.1	GO:0005615		
F32D8.13	GO:0005737	GO:0005737	cytoplasm
F32D8.13	GO:0005829	GO:0005829	cytosol
F32D8.14	GO:0005794	GO:0005794	Golgi apparatus
F32D8.14	GO:0000139;GO:0016020	GO:0016020	membrane
F32D8.14	GO:0005802		
F32D8.5	GO:0016020;GO:0031966	GO:0016020	membrane
F32H2.6			
F32H5.1	GO:0005764	GO:0005764	lysosome
F32H5.1	GO:0005615		
F33D11.10	GO:0005634	GO:0005634	nucleus
F33D11.10	GO:0005730	GO:0005730	nucleolus
F33D11.10	GO:0071013	GO:0032991	protein-containing complex
F33D11.10	GO:0043186	GO:0043226	organelle
F33D4.4	GO:0016020	GO:0016020	membrane
F33H2.3	GO:0005634	GO:0005634	nucleus
F35A5.1	GO:0005737	GO:0005737	cytoplasm
F35B12.10	GO:0005576	GO:0005576	extracellular region
F35B12.10	GO:0005615		
F35B3.7	GO:0005737	GO:0005737	cytoplasm
F35C11.3	GO:0005634	GO:0005634	nucleus
F35C11.3	GO:0005737	GO:0005737	cytoplasm
F35G2.1	GO:0000139	GO:0016020	membrane
F35G2.1	GO:0005615		
F36G3.3	GO:0005765;GO:0010008;GO:0016020;GO:0031902	GO:0016020	membrane
F37A4.1			
F37A8.5			
F37B12.3	GO:0005783	GO:0005783	endoplasmic reticulum
F37B12.3	GO:0005789;GO:0016020	GO:0016020	membrane
F37B12.3	GO:1904423	GO:0032991	protein-containing complex
F38A5.2			
F38B2.4	GO:0005737	GO:0005737	cytoplasm
F38B2.4	GO:0005829	GO:0005829	cytosol
F38B6.4	GO:0005829	GO:0005829	cytosol
F38B6.6	GO:0005783	GO:0005783	endoplasmic reticulum
F38B6.6	GO:0016020	GO:0016020	membrane
F38C2.7	GO:0005829	GO:0005829	cytosol
F38C2.7	GO:0043186	GO:0043226	organelle
F38H4.4			
F39H12.3			
F39H2.3	GO:0005739	GO:0005739	mitochondrion
F39H2.3	GO:0005759		
F40A3.3	GO:0005739	GO:0005739	mitochondrion
F40F8.1	GO:0005634	GO:0005634	nucleus
F40F8.1	GO:0005737	GO:0005737	cytoplasm
F40G9.19	GO:0016020	GO:0016020	membrane
F42A6.6	GO:0005634	GO:0005634	nucleus
F42A6.6	GO:0005829	GO:0005829	cytosol
F42C5.9	GO:0005886	GO:0005886	plasma membrane
F42C5.9	GO:0005869	GO:0032991	protein-containing complex
F42C5.9	GO:0055120		
F42G2.5	GO:0005856	GO:0005856	cytoskeleton
F42G2.5	GO:0005886	GO:0005886	plasma membrane
F42G2.5	GO:0005789	GO:0016020	membrane
F43B10.1	GO:0000159	GO:0032991	protein-containing complex
F43C11.8			
F43E2.11	GO:0005739	GO:0005739	mitochondrion
F43E2.11	GO:0005741	GO:0016020	membrane
F44B9.8	GO:0005634	GO:0005634	nucleus
F44B9.8	GO:0005663	GO:0032991	protein-containing complex
F44E2.6	GO:0005737	GO:0005737	cytoplasm
F44E7.4	GO:0005737	GO:0005737	cytoplasm
F44E7.4	GO:0005739	GO:0005739	mitochondrion
F44E7.4	GO:0005829	GO:0005829	cytosol
F44E7.9	GO:0005739	GO:0005739	mitochondrion
F44E7.9	GO:0005783	GO:0005783	endoplasmic reticulum
F44E7.9	GO:0005789;GO:0016020	GO:0016020	membrane
F45G2.8	GO:0005739	GO:0005739	mitochondrion
F45G2.8	GO:0005743;GO:0016020	GO:0016020	membrane
F45G2.8	GO:0005744	GO:0032991	protein-containing complex
F45G2.9	GO:0005739	GO:0005739	mitochondrion
F45H10.2	GO:0005739	GO:0005739	mitochondrion
F45H10.2	GO:0005743;GO:0016020	GO:0016020	membrane
F45H10.2	GO:0045275	GO:0032991	protein-containing complex
F46A8.3			
F46A8.4			
F46A8.5			
F46A8.8			
F46F11.1	GO:0005737	GO:0005737	cytoplasm
F46F11.1	GO:0005829	GO:0005829	cytosol
F46H5.3	GO:0005615		
F46H5.4			
F47B3.3	GO:0016020	GO:0016020	membrane
F47B3.7			
F47B7.2	GO:0000139;GO:0016020	GO:0016020	membrane
F47B7.2	GO:0005615		
F47B8.10	GO:0005789;GO:0016020	GO:0016020	membrane
F47B8.10	GO:0012505		
F47E1.2	GO:0005886	GO:0005886	plasma membrane
F47E1.2	GO:0016020;GO:0016323	GO:0016020	membrane
F47E1.20	GO:0005634	GO:0005634	nucleus
F47E1.4	GO:0005886	GO:0005886	plasma membrane
F47E1.4	GO:0016020;GO:0016323	GO:0016020	membrane
F47G4.4	GO:0008352	GO:0032991	protein-containing complex
F47G4.5	GO:0008352	GO:0032991	protein-containing complex
F49B2.6	GO:0016020	GO:0016020	membrane
F49D11.10	GO:0005634	GO:0005634	nucleus
F49D11.10	GO:0005730	GO:0005730	nucleolus
F49D11.10	GO:0032040	GO:0032991	protein-containing complex
F49F1.10			
F49F1.11			
F49F1.18			
F49F1.9			
F49H6.5			
F52B11.2	GO:0005737	GO:0005737	cytoplasm
F52B11.2	GO:0005829	GO:0005829	cytosol
F52C12.6	GO:0005634	GO:0005634	nucleus
F52C12.6	GO:0005829	GO:0005829	cytosol
F52C12.6	GO:0000408	GO:0032991	protein-containing complex
F52C9.3	GO:0005737	GO:0005737	cytoplasm
F52C9.3	GO:0005739	GO:0005739	mitochondrion
F52C9.3	GO:0016020	GO:0016020	membrane
F52F10.2	GO:0005765;GO:0016020	GO:0016020	membrane
F53A10.2	GO:0005737	GO:0005737	cytoplasm
F53B1.8	GO:0005886	GO:0005886	plasma membrane
F53B1.8	GO:0016020;GO:0016323	GO:0016020	membrane
F53E2.2	GO:0005737	GO:0005737	cytoplasm
F53E2.2	GO:0015629	GO:0005856	cytoskeleton
F53E2.2	GO:1990904	GO:0032991	protein-containing complex
