gene	go_term	go_slim_term	cellular_component
spr-3	GO:0005634	GO:0005634	nucleus
spr-4	GO:0005634	GO:0005634	nucleus
spr-5	GO:0000785;GO:0005634;GO:0005737	GO:0005634;GO:0005737	cytoplasm;nucleus
spt-16	GO:0005634;GO:0005694;GO:0035101	GO:0005634;GO:0005694;GO:0032991	chromosome;nucleus;protein-containing complex
sptf-1			
sptf-3	GO:0005634	GO:0005634	nucleus
sptl-1	GO:0005783;GO:0016020	GO:0005783;GO:0016020	endoplasmic reticulum;membrane
sptl-2	GO:0016020;GO:0017059	GO:0016020;GO:0032991	membrane;protein-containing complex
sptl-3	GO:0016020;GO:0017059	GO:0016020;GO:0032991	membrane;protein-containing complex
spv-1	GO:0005911;GO:0016324	GO:0016020;GO:0030054	cell junction;membrane
sqd-1	GO:0005634;GO:0071013	GO:0005634;GO:0032991	nucleus;protein-containing complex
sql-1	GO:0005794	GO:0005794	Golgi apparatus
sqst-1	GO:0005737;GO:0016235;GO:0044753	GO:0005737;GO:0005773	cytoplasm;vacuole
sqst-2	GO:0016235;GO:0044753	GO:0005773	vacuole
sqst-3	GO:0016235;GO:0044753	GO:0005773	vacuole
sqst-4	GO:0016235;GO:0044753	GO:0005773	vacuole
sqv-2	GO:0000139;GO:0016020;GO:0005794	GO:0005794;GO:0016020	Golgi apparatus;membrane
sqv-3	GO:0005794;GO:0016020	GO:0005794;GO:0016020	Golgi apparatus;membrane
sqv-4	GO:0005634;GO:0005737	GO:0005634;GO:0005737	cytoplasm;nucleus
sqv-5	GO:0005737;GO:0005794;GO:0016020;GO:0032580	GO:0005737;GO:0005794;GO:0016020	Golgi apparatus;cytoplasm;membrane
sqv-6	GO:0000139;GO:0005789;GO:0016020;GO:0005783;GO:0005794	GO:0005783;GO:0005794;GO:0016020	Golgi apparatus;endoplasmic reticulum;membrane
sqv-7	GO:0000139;GO:0016020;GO:0005737;GO:0005794	GO:0005737;GO:0005794;GO:0016020	Golgi apparatus;cytoplasm;membrane
sqv-8	GO:0000139;GO:0016020	GO:0016020	membrane
src-1	GO:0001891;GO:0005886;GO:0016020;GO:0042995;GO:0043292	GO:0005886;GO:0016020;GO:0042995;GO:0043226	cell projection;membrane;organelle;plasma membrane
src-2	GO:0005886	GO:0005886	plasma membrane
srdf-2.1	GO:0005783;GO:0005789;GO:0016020	GO:0005783;GO:0016020	endoplasmic reticulum;membrane
srdf-2.2	GO:0005783;GO:0005789;GO:0016020	GO:0005783;GO:0016020	endoplasmic reticulum;membrane
srdf-3	GO:0005783;GO:0005789;GO:0016020	GO:0005783;GO:0016020	endoplasmic reticulum;membrane
srf-1			
